index,mid,display_name,class
0,/m/09x0r,Speech,human_sound
1,/m/05zppz,"Male speech, man speaking",human_sound
2,/m/02zsn,"Female speech, woman speaking",human_sound
3,/m/0ytgt,"Child speech, kid speaking",human_sound
4,/m/01h8n0,Conversation,human_sound
5,/m/02qldy,"Narration, monologue",human_sound
6,/m/0261r1,Babbling,human_sound
7,/m/0brhx,Speech synthesizer,human_sound
8,/m/07p6fty,Shout,human_sound
9,/m/07q4ntr,Bellow,human_sound
10,/m/07rwj3x,Whoop,human_sound
11,/m/07sr1lc,Yell,human_sound
12,/m/04gy_2,Battle cry,human_sound
13,/t/dd00135,Children shouting,human_sound
14,/m/03qc9zr,Screaming,human_sound
15,/m/02rtxlg,Whispering,human_sound
16,/m/01j3sz,Laughter,human_sound
17,/t/dd00001,Baby laughter,human_sound
18,/m/07r660_,Giggle,human_sound
19,/m/07s04w4,Snicker,human_sound
20,/m/07sq110,Belly laugh,human_sound
21,/m/07rgt08,"Chuckle, chortle",human_sound
22,/m/0463cq4,"Crying, sobbing",human_sound
23,/t/dd00002,"Baby cry, infant cry",human_sound
24,/m/07qz6j3,Whimper,human_sound
25,/m/07qw_06,"Wail, moan",human_sound
26,/m/07plz5l,Sigh,human_sound
27,/m/015lz1,Singing,human_sound
28,/m/0l14jd,Choir,human_sound
29,/m/01swy6,Yodeling,human_sound
30,/m/02bk07,Chant,human_sound
31,/m/01c194,Mantra,human_sound
32,/t/dd00003,Male singing,human_sound
33,/t/dd00004,Female singing,human_sound
34,/t/dd00005,Child singing,human_sound
35,/t/dd00006,Synthetic singing,human_sound
36,/m/06bxc,Rapping,human_sound
37,/m/02fxyj,Humming,human_sound
38,/m/07s2xch,Groan,human_sound
39,/m/07r4k75,Grunt,human_sound
40,/m/01w250,Whistling,human_sound
41,/m/0lyf6,Breathing,human_sound
42,/m/07mzm6,Wheeze,human_sound
43,/m/01d3sd,Snoring,human_sound
44,/m/07s0dtb,Gasp,human_sound
45,/m/07pyy8b,Pant,human_sound
46,/m/07q0yl5,Snort,human_sound
47,/m/01b_21,Cough,human_sound
48,/m/0dl9sf8,Throat clearing,human_sound
49,/m/01hsr_,Sneeze,human_sound
50,/m/07ppn3j,Sniff,human_sound
51,/m/06h7j,Run,human_sound
52,/m/07qv_x_,Shuffle,human_sound
53,/m/07pbtc8,"Walk, footsteps",human_sound
54,/m/03cczk,"Chewing, mastication",human_sound
55,/m/07pdhp0,Biting,human_sound
56,/m/0939n_,Gargling,human_sound
57,/m/01g90h,Stomach rumble,human_sound
58,/m/03q5_w,"Burping, eructation",human_sound
59,/m/02p3nc,Hiccup,human_sound
60,/m/02_nn,Fart,human_sound
61,/m/0k65p,Hands,human_sound
62,/m/025_jnm,Finger snapping,human_sound
63,/m/0l15bq,Clapping,human_sound
64,/m/01jg02,"Heart sounds, heartbeat",human_sound
65,/m/01jg1z,Heart murmur,human_sound
66,/m/053hz1,Cheering,human_sound
67,/m/028ght,Applause,human_sound
68,/m/07rkbfh,Chatter,human_sound
69,/m/03qtwd,Crowd,human_sound
70,/m/07qfr4h,"Hubbub, speech noise, speech babble",human_sound
71,/t/dd00013,Children playing,human_sound
72,/m/0jbk,Animal,noise
73,/m/068hy,"Domestic animals, pets",noise
74,/m/0bt9lr,Dog,noise
75,/m/05tny_,Bark,noise
76,/m/07r_k2n,Yip,noise
77,/m/07qf0zm,Howl,noise
78,/m/07rc7d9,Bow-wow,noise
79,/m/0ghcn6,Growling,noise
80,/t/dd00136,Whimper (dog),noise
81,/m/01yrx,Cat,noise
82,/m/02yds9,Purr,noise
83,/m/07qrkrw,Meow,noise
84,/m/07rjwbb,Hiss,noise
85,/m/07r81j2,Caterwaul,noise
86,/m/0ch8v,"Livestock, farm animals, working animals",noise
87,/m/03k3r,Horse,noise
88,/m/07rv9rh,Clip-clop,noise
89,/m/07q5rw0,"Neigh, whinny",noise
90,/m/01xq0k1,"Cattle, bovinae",noise
91,/m/07rpkh9,Moo,noise
92,/m/0239kh,Cowbell,noise
93,/m/068zj,Pig,noise
94,/t/dd00018,Oink,noise
95,/m/03fwl,Goat,noise
96,/m/07q0h5t,Bleat,noise
97,/m/07bgp,Sheep,noise
98,/m/025rv6n,Fowl,noise
99,/m/09b5t,"Chicken, rooster",noise
100,/m/07st89h,Cluck,noise
101,/m/07qn5dc,"Crowing, cock-a-doodle-doo",noise
102,/m/01rd7k,Turkey,noise
103,/m/07svc2k,Gobble,noise
104,/m/09ddx,Duck,noise
105,/m/07qdb04,Quack,noise
106,/m/0dbvp,Goose,noise
107,/m/07qwf61,Honk,vehicle
108,/m/01280g,Wild animals,noise
109,/m/0cdnk,"Roaring cats (lions, tigers)",noise
110,/m/04cvmfc,Roar,noise
111,/m/015p6,Bird,noise
112,/m/020bb7,"Bird vocalization, bird call, bird song",noise
113,/m/07pggtn,"Chirp, tweet",noise
114,/m/07sx8x_,Squawk,noise
115,/m/0h0rv,"Pigeon, dove",noise
116,/m/07r_25d,Coo,noise
117,/m/04s8yn,Crow,noise
118,/m/07r5c2p,Caw,noise
119,/m/09d5_,Owl,noise
120,/m/07r_80w,Hoot,noise
121,/m/05_wcq,"Bird flight, flapping wings",noise
122,/m/01z5f,"Canidae, dogs, wolves",noise
123,/m/06hps,"Rodents, rats, mice",noise
124,/m/04rmv,Mouse,noise
125,/m/07r4gkf,Patter,noise
126,/m/03vt0,Insect,noise
127,/m/09xqv,Cricket,noise
128,/m/09f96,Mosquito,noise
129,/m/0h2mp,"Fly, housefly",noise
130,/m/07pjwq1,Buzz,noise
131,/m/01h3n,"Bee, wasp, etc.",noise
132,/m/09ld4,Frog,noise
133,/m/07st88b,Croak,noise
134,/m/078jl,Snake,noise
135,/m/07qn4z3,Rattle,noise
136,/m/032n05,Whale vocalization,noise
137,/m/04rlf,Music,noise
138,/m/04szw,Musical instrument,noise
139,/m/0fx80y,Plucked string instrument,noise
140,/m/0342h,Guitar,noise
141,/m/02sgy,Electric guitar,noise
142,/m/018vs,Bass guitar,noise
143,/m/042v_gx,Acoustic guitar,noise
144,/m/06w87,"Steel guitar, slide guitar",noise
145,/m/01glhc,Tapping (guitar technique),noise
146,/m/07s0s5r,Strum,noise
147,/m/018j2,Banjo,noise
148,/m/0jtg0,Sitar,noise
149,/m/04rzd,Mandolin,noise
150,/m/01bns_,Zither,noise
151,/m/07xzm,Ukulele,noise
152,/m/05148p4,Keyboard (musical),noise
153,/m/05r5c,Piano,noise
154,/m/01s0ps,Electric piano,noise
155,/m/013y1f,Organ,noise
156,/m/03xq_f,Electronic organ,noise
157,/m/03gvt,Hammond organ,noise
158,/m/0l14qv,Synthesizer,noise
159,/m/01v1d8,Sampler,noise
160,/m/03q5t,Harpsichord,noise
161,/m/0l14md,Percussion,noise
162,/m/02hnl,Drum kit,noise
163,/m/0cfdd,Drum machine,noise
164,/m/026t6,Drum,noise
165,/m/06rvn,Snare drum,noise
166,/m/03t3fj,Rimshot,noise
167,/m/02k_mr,Drum roll,noise
168,/m/0bm02,Bass drum,noise
169,/m/011k_j,Timpani,noise
170,/m/01p970,Tabla,noise
171,/m/01qbl,Cymbal,noise
172,/m/03qtq,Hi-hat,noise
173,/m/01sm1g,Wood block,noise
174,/m/07brj,Tambourine,noise
175,/m/05r5wn,Rattle (instrument),noise
176,/m/0xzly,Maraca,noise
177,/m/0mbct,Gong,noise
178,/m/016622,Tubular bells,noise
