,Unnamed: 0,feature,class_label
0,0,"[[-3.06772569e+02 -1.77592085e+02 -9.91361700e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.27254487e+02  9.50825691e+01  7.42132694e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.13722756e+02 -1.31244404e+02 -1.41885322e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-1.93981202e+00 -3.30741616e+00  1.49638711e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.36339211e+00 -6.36570833e+00 -3.48373471e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 2.18224335e-01  9.47750903e-01 -2.20049571e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",noise
1,1,"[[-4.57695362e+02 -4.51024809e+02 -4.50686165e+02 ... -4.24448066e+02
  -4.18965553e+02  0.00000000e+00]
 [ 9.26962117e+01  1.06034908e+02  1.11246124e+02 ...  8.26739368e+01
   7.45412902e+01  0.00000000e+00]
 [-2.13360134e+01 -1.99998338e+01 -2.73558808e+01 ... -3.80399240e+01
  -3.82176857e+01  0.00000000e+00]
 ...
 [ 2.08378687e+00  2.87111270e-01  2.67358362e+00 ... -9.16021782e+00
  -5.18144414e+00  0.00000000e+00]
 [-1.76746137e-01  7.64973801e-01  1.62212525e+00 ...  1.54761980e+01
   1.06427181e+01  0.00000000e+00]
 [-3.43025872e+00  1.29651714e+00  4.62490637e+00 ...  7.05417285e+00
   2.78702982e+00  0.00000000e+00]]",noise
2,2,"[[-468.03671021 -467.42265606 -481.04654343 ... -459.75085216
  -462.15720952    0.        ]
 [ 111.13383544  115.84701022  118.69844097 ...  121.24325618
   121.32119672    0.        ]
 [ -27.87674935  -31.86744242  -41.55285821 ...  -44.78194805
   -43.5259114     0.        ]
 ...
 [   2.50140941    1.06106349    1.11127635 ...    9.55701382
     9.09026944    0.        ]
 [  -3.40880513   -2.09407168    2.62400323 ...   13.20365147
    15.4707758     0.        ]
 [ -13.65251715  -11.09328399   -4.31133783 ...    0.95444191
    -1.39218493    0.        ]]",noise
3,3,"[[-422.42214692 -411.90851766 -409.46240246 ... -410.6613608
  -413.70305912    0.        ]
 [  92.80397229   93.35363104   92.20844158 ...   92.63548955
    85.0238966     0.        ]
 [ -59.73013234  -57.48615373  -60.37602197 ...   -7.54672282
     2.25774449    0.        ]
 ...
 [  -0.79767815    1.59071929    1.66617053 ...    1.35742336
     6.16735848    0.        ]
 [  -2.43286586   -5.94948133  -15.2920158  ...   -4.1583294
    -1.36001398    0.        ]
 [  -4.73686509  -15.27229535  -22.77914053 ...   -7.43367392
    -5.23699773    0.        ]]",noise
4,4,"[[-4.38101620e+02 -4.34477865e+02 -4.43328392e+02 ... -4.46938939e+02
  -4.49291285e+02  0.00000000e+00]
 [ 1.04092077e+02  1.11407294e+02  1.11738457e+02 ...  1.22038066e+02
   1.17353169e+02  0.00000000e+00]
 [-3.46452736e+01 -4.16984555e+01 -4.81473524e+01 ... -5.78479799e+01
  -5.69041032e+01  0.00000000e+00]
 ...
 [-1.34193660e+00 -4.28468416e-01  4.79848980e+00 ... -5.62412201e+00
  -6.18920521e+00  0.00000000e+00]
 [ 1.85618055e+00  1.00524714e+00  1.01341619e+00 ... -6.53058844e-01
   1.56840628e-01  0.00000000e+00]
 [-9.52546895e+00 -6.96750650e+00 -4.13874835e+00 ... -5.92595911e-01
   2.83998982e+00  0.00000000e+00]]",noise
5,5,"[[-4.46198337e+02 -4.49685094e+02 -4.54754999e+02 ... -4.47476840e+02
  -4.51913257e+02  0.00000000e+00]
 [ 8.83611861e+01  9.82150254e+01  1.05404936e+02 ...  1.25440607e+02
   1.19267309e+02  0.00000000e+00]
 [-1.75329020e+01 -2.18822171e+01 -3.06439458e+01 ... -2.99840593e+01
  -2.70384633e+01  0.00000000e+00]
 ...
 [-7.76434575e+00 -2.59355400e+00 -4.18126777e-01 ... -1.85404488e+00
  -1.51718650e+00  0.00000000e+00]
 [ 2.43575992e+00  2.69934022e+00  3.80492361e+00 ... -9.53099028e+00
  -5.08011453e+00  0.00000000e+00]
 [ 4.11205732e+00 -4.28022668e+00 -8.23727091e+00 ... -6.09354081e+00
   1.46975443e+00  0.00000000e+00]]",noise
6,6,"[[-4.66574343e+02 -4.64795306e+02 -4.72635858e+02 ... -4.91453175e+02
  -4.95592280e+02  0.00000000e+00]
 [ 1.01014149e+02  1.05354480e+02  1.11115813e+02 ...  1.15319612e+02
   1.09156786e+02  0.00000000e+00]
 [-1.56891769e+01 -2.14472175e+01 -3.43146374e+01 ... -3.26115537e+01
  -2.87823995e+01  0.00000000e+00]
 ...
 [ 3.98965900e+00  4.68871842e+00  5.96998633e+00 ...  2.84138407e+00
  -4.49779696e-01  0.00000000e+00]
 [ 2.65652224e+00 -2.81563150e+00 -4.82516427e+00 ...  5.47578458e+00
   6.86927431e+00  0.00000000e+00]
 [-8.59612667e-01 -1.87897571e+00  1.40666675e-01 ...  2.82307082e+00
  -2.60659797e+00  0.00000000e+00]]",noise
7,7,"[[-4.46275818e+02 -4.50068894e+02 -4.56819554e+02 ... -4.80856519e+02
  -4.87424795e+02  0.00000000e+00]
 [ 1.14038449e+02  1.15976739e+02  1.22189682e+02 ...  1.21559183e+02
   1.12197690e+02  0.00000000e+00]
 [-1.73233575e+01 -2.69267343e+01 -4.10616601e+01 ... -1.95017494e+01
  -1.39028857e+01  0.00000000e+00]
 ...
 [-7.73243989e+00 -5.60013636e+00 -6.14570211e+00 ...  2.45747497e+00
   7.12041798e+00  0.00000000e+00]
 [-1.97760532e+00 -2.88957060e-01  4.64019146e-01 ...  1.93032276e+00
   3.79247733e+00  0.00000000e+00]
 [-3.70334416e-01 -1.58716565e-01  5.04542424e+00 ... -6.16587404e+00
  -5.13534110e+00  0.00000000e+00]]",noise
8,8,"[[-4.97568912e+02 -4.94502982e+02 -4.98249687e+02 ... -4.67964675e+02
  -4.72793404e+02  0.00000000e+00]
 [ 1.16850998e+02  1.22342273e+02  1.24770037e+02 ...  1.25232880e+02
   1.21410927e+02  0.00000000e+00]
 [-1.07756955e+01 -2.22561760e+01 -3.15963891e+01 ... -4.38597049e+01
  -4.92143631e+01  0.00000000e+00]
 ...
 [-1.13734450e+00  3.86291823e+00  4.26686761e+00 ... -2.25156021e+00
   3.62932394e+00  0.00000000e+00]
 [ 1.18107984e+00 -1.46383042e+00 -2.39836082e+00 ...  1.07920763e+00
   2.61271766e+00  0.00000000e+00]
 [ 3.54436659e-01 -2.01982641e+00 -1.92074650e+00 ... -9.73635734e+00
  -4.04682896e+00  0.00000000e+00]]",noise
14,14,"[[-5.22572548e+02 -3.86471175e+02 -2.96993122e+02 ... -3.27135748e+02
  -3.39070841e+02  0.00000000e+00]
 [ 4.59428953e+01  9.87264593e+01  1.12744903e+02 ...  8.34949457e+01
   8.03710337e+01  0.00000000e+00]
 [-3.91942788e+01 -1.00993654e+02 -1.27882591e+02 ... -6.51693124e+01
  -6.09625886e+01  0.00000000e+00]
 ...
 [ 6.29472479e-01 -3.91809060e-01  6.04037208e+00 ...  1.49953520e+00
   3.33066352e+00  0.00000000e+00]
 [ 1.59808818e+00 -2.02712953e+00 -4.32130408e+00 ...  4.29798384e+00
   6.40398509e+00  0.00000000e+00]
 [ 5.50654680e+00  8.76752185e+00  3.20635036e+00 ... -3.15608636e+00
   3.13848513e-01  0.00000000e+00]]",noise
15,15,"[[-108.40085768 -114.56230362 -144.59054038 ... -388.78389925
  -403.77977133    0.        ]
 [ 111.13144696  126.48699879  127.35572518 ...   77.51799916
    80.03874762    0.        ]
 [-158.41355223 -157.87808681 -146.55466005 ...  -56.8881663
   -50.7729429     0.        ]
 ...
 [   5.95135913   -2.07905201   -5.18091999 ...   -1.4858844
    -4.33975389    0.        ]
 [  -3.08672628    3.15446615   11.67724102 ...   -3.11854619
     1.67686071    0.        ]
 [   4.52343151    5.81567964    4.93062326 ...    3.79106682
     6.46327917    0.        ]]",noise
16,16,"[[-3.39269231e+02 -3.40622776e+02 -3.46575478e+02 ... -2.95681949e+02
  -2.28937475e+02  0.00000000e+00]
 [ 8.20510739e+01  8.47679706e+01  8.89195612e+01 ...  1.57951614e+02
   1.59259037e+02  0.00000000e+00]
 [-6.12704528e+01 -5.75782362e+01 -5.84652414e+01 ... -9.38729864e+01
  -1.06538710e+02  0.00000000e+00]
 ...
 [ 4.33283473e-01  9.28684531e-01 -2.92483036e+00 ...  6.13159145e+00
   2.03416174e+00  0.00000000e+00]
 [ 3.01564747e+00  4.79566493e+00  3.30796384e+00 ...  2.34055379e+00
   2.56769319e+00  0.00000000e+00]
 [-2.94643171e+00  1.73975064e+00  4.43378093e+00 ... -2.80079498e-02
  -2.14858703e+00  0.00000000e+00]]",noise
17,17,"[[-4.03864761e+02 -4.01257244e+02 -4.04647436e+02 ... -3.48363377e+02
  -3.59041093e+02  0.00000000e+00]
 [ 6.72882031e+01  7.23476816e+01  7.59610259e+01 ...  8.98319731e+01
   8.61823180e+01  0.00000000e+00]
 [-4.32883168e+01 -4.59079743e+01 -4.71164494e+01 ... -8.99973526e+01
  -8.64070207e+01  0.00000000e+00]
 ...
 [ 1.86330629e+00  2.85148650e-01 -2.29817043e+00 ...  5.66741475e+00
   4.94131885e+00  0.00000000e+00]
 [ 8.16092719e-01 -6.55611329e-01 -3.93428817e+00 ...  1.26534326e+01
   1.23340952e+01  0.00000000e+00]
 [-1.48577033e+00  5.64088872e-02 -4.44850469e+00 ...  1.87161984e-01
  -5.94752431e+00  0.00000000e+00]]",noise
18,18,"[[-419.4554062  -293.43721992 -207.60192872 ... -189.71475414
  -203.24266242    0.        ]
 [  64.89743856  104.04931881  136.43169653 ...   73.34712134
    71.34005489    0.        ]
 [ -12.06705301  -37.34749965  -46.88594981 ... -176.62070805
  -166.30938901    0.        ]
 ...
 [   5.71241588    3.62422786    1.08416891 ...   -0.73967164
    -2.38241482    0.        ]
 [   2.66583835    3.0229565     2.3204659  ...    1.06551569
    -6.41350271    0.        ]
 [  -5.28750014   -3.78943413   -0.68870369 ...   -2.68776213
     3.77508439    0.        ]]",noise
19,19,"[[-2.54896842e+02 -1.61730524e+02 -1.30821046e+02 ... -4.36062467e+02
  -4.43177871e+02  0.00000000e+00]
 [ 1.62121222e+02  1.84696562e+02  1.98861806e+02 ...  8.59747132e+01
   8.30336226e+01  0.00000000e+00]
 [-3.25341858e+01 -6.69460930e+01 -9.28886000e+01 ... -2.93193859e+01
  -3.02547625e+01  0.00000000e+00]
 ...
 [ 8.64944330e-02  1.38137359e+00 -1.84022082e+00 ... -2.38065747e+00
  -5.59723937e-01  0.00000000e+00]
 [ 4.27921950e+00  4.03439118e-01 -2.47439801e+00 ... -5.74029575e+00
  -4.20583464e+00  0.00000000e+00]
 [ 4.14166391e+00 -4.15268159e+00 -6.62498142e+00 ...  4.20766060e-01
  -1.00559327e+00  0.00000000e+00]]",noise
20,20,"[[-265.27042009 -232.71277571 -204.40000739 ... -336.75078405
  -347.46099989    0.        ]
 [ 198.69918975  199.47436282  183.84383093 ...  102.98627674
   109.32890348    0.        ]
 [ -81.52893489 -105.05371123 -130.63783951 ...  -83.76102428
   -77.05877062    0.        ]
 ...
 [   4.87780573    6.63000713   -2.04074731 ...   -7.33912235
    -1.54174887    0.        ]
 [   1.51085629    2.5300391     2.04674018 ...   -2.98495065
    -0.77850546    0.        ]
 [  -4.39836216   -5.54333308    1.4349267  ...    1.85969068
     2.74679261    0.        ]]",noise
21,21,"[[-4.54778820e+02 -4.46870002e+02 -4.43695772e+02 ... -2.77127658e+02
  -2.09253686e+02  0.00000000e+00]
 [ 7.77377909e+01  8.24160992e+01  8.41917023e+01 ...  1.49934771e+02
   1.26291394e+02  0.00000000e+00]
 [-2.23803925e+01 -2.41566047e+01 -2.19204461e+01 ... -7.98711889e+01
  -8.12270298e+01  0.00000000e+00]
 ...
 [ 1.18790999e-02  1.28606061e+00 -1.17025968e+00 ...  6.08585581e+00
   6.85613582e+00  0.00000000e+00]
 [ 2.35029557e+00 -1.04714147e-01 -5.64228061e+00 ...  4.26937272e+00
   4.85049282e+00  0.00000000e+00]
 [ 8.36844284e+00  1.00828980e+00 -1.69465788e+00 ... -1.14259648e+00
   2.90629366e-01  0.00000000e+00]]",noise
22,22,"[[-6.88744384e+02 -2.62640926e+02 -1.05281917e+02 ... -4.30516758e+01
  -5.25526060e+01  0.00000000e+00]
 [ 5.42935192e+00  8.84140306e+01  8.67802055e+01 ...  7.51799374e+01
   7.92853049e+01  0.00000000e+00]
 [ 1.26258681e+00 -3.56141917e+01 -4.68855013e+01 ... -4.52486377e+01
  -4.60812711e+01  0.00000000e+00]
 ...
 [ 5.00138544e-01  4.56071958e+00  2.27016580e+00 ...  6.56328780e+00
   3.15567135e+00  0.00000000e+00]
 [ 3.58259320e-01  1.85148011e+00 -3.08945115e+00 ...  8.22232229e-01
  -2.19667013e+00  0.00000000e+00]
 [-3.40628251e+00  3.06127689e+00  4.18569075e+00 ...  6.12367270e+00
  -2.47250269e-01  0.00000000e+00]]",noise
23,23,"[[-5.98682604e+01 -5.74913986e+01 -5.84131869e+01 ... -5.53525983e+01
  -6.26209882e+01  0.00000000e+00]
 [ 6.90822007e+01  8.13205348e+01  8.74887995e+01 ...  8.34663648e+01
   8.38511077e+01  0.00000000e+00]
 [-5.07942234e+01 -5.16509383e+01 -5.23130981e+01 ... -5.40582985e+01
  -4.92223314e+01  0.00000000e+00]
 ...
 [-5.69723224e+00  1.95605219e+00  4.14425846e+00 ...  4.89241231e+00
   4.26683935e+00  0.00000000e+00]
 [-3.52320316e+00  7.68182291e-02 -1.12744980e+00 ... -2.41026950e+00
   2.03871497e+00  0.00000000e+00]
 [ 4.32022870e+00  3.06282610e+00  8.81350867e+00 ...  2.22238253e+00
   5.15607354e+00  0.00000000e+00]]",noise
24,24,"[[-43.51653006 -39.76605364 -48.21400627 ... -38.75018542 -51.5942316
    0.        ]
 [ 74.35622686  80.29997222  88.20820286 ...  77.06304582  73.73052775
    0.        ]
 [-48.0679802  -52.58024138 -55.68128031 ... -51.00574552 -46.95481172
    0.        ]
 ...
 [ -5.47367196  -0.9340541    3.90448849 ...   0.35114975  -5.16375666
    0.        ]
 [ -3.76492545  -0.25414159   2.98154293 ...  -6.5039925  -10.07370513
    0.        ]
 [ -0.13060765   0.96242323   4.76291087 ...  -0.56072445  -3.08660593
    0.        ]]",noise
25,25,"[[-56.96766438 -46.62857013 -45.5422441  ... -46.89526801 -56.06069788
    0.        ]
 [ 72.43018987  78.45745867  82.09018493 ...  86.99468949  89.56685904
    0.        ]
 [-47.92854812 -50.18510361 -51.70636206 ... -50.69964541 -48.49868074
    0.        ]
 ...
 [ -1.26117255  -0.94198288   1.83758869 ...   0.61208538   1.88963103
    0.        ]
 [  1.39335692  -0.09638026  -3.70908101 ...  -5.0697726   -4.52332787
    0.        ]
 [  5.5059247    4.99224865  -0.53638473 ...   0.7647483    4.34049721
    0.        ]]",noise
26,26,"[[-47.09025656 -45.57552935 -43.86043142 ... -56.36341389 -54.44269875
    0.        ]
 [ 73.23580929  76.07213417  75.29822134 ...  86.18232294  82.09057849
    0.        ]
 [-40.42251694 -43.69913164 -50.10527302 ... -51.1994831  -54.69741961
    0.        ]
 ...
 [  2.29198689   4.77262244   7.34008324 ...   1.97211079   6.83130941
    0.        ]
 [ -6.02651144  -3.46863387  -5.15084287 ...  -5.77668332   2.64056727
    0.        ]
 [ -9.81860426  -3.24697117   0.76275455 ...  -2.84997203   3.50709025
    0.        ]]",noise
27,27,"[[-66.03891936 -65.211304   -75.8006776  ... -58.40245246 -61.00981844
    0.        ]
 [ 75.25750307  78.87968598  82.18060689 ...  81.14895191  77.3561781
    0.        ]
 [-48.27048537 -47.49062217 -49.46504962 ... -48.67938912 -45.91276368
    0.        ]
 ...
 [ -8.25712133   0.0889646    2.0085095  ...   4.52576      5.95424943
    0.        ]
 [  0.19089871   1.41156103  -2.235813   ...  -3.75467605   0.55608175
    0.        ]
 [  4.23720154   1.4647221   -2.79589902 ...   6.22430752   7.96506673
    0.        ]]",noise
